clientId,flancerId,rating,projectSkills,projectType
CL1310,FL4507,2,"['calendar-management', 'autocad']",Developing a scalable e-commerce platform with integrated payment gateways.
CL458,FL3570,5,"['3d-modeling', 'data-annotation']",Migrating legacy systems to AWS cloud infrastructure.
CL865,FL2322,2,"['affiliate-marketing', 'bookkeeping']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1035,FL5812,5,"['revit', '3d-modeling']",Designing RESTful APIs and microservices for SaaS solutions.
CL860,FL8444,4,"['branding', 'sql', 'machine-learning', 'nosql', 'data-entry']",Migrating legacy systems to AWS cloud infrastructure.
CL697,FL5446,1,"['photoshop', 'lead-generation', 'gcp']",Building a secure mobile banking app for Android and iOS.
CL779,FL2577,4,"['linux', 'llm', 'keras', 'content-marketing']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1099,FL5367,5,"['3d-rendering', 'azure', 'editing', 'angular', 'sql']",Developing a scalable e-commerce platform with integrated payment gateways.
CL394,FL2416,1,"['market-research', 'rust']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1752,FL998,4,"['c++', 'azure']",Migrating legacy systems to AWS cloud infrastructure.
CL1302,FL2052,3,"['css', 'speech-recognition', 'blog-writing']",Building a secure mobile banking app for Android and iOS.
CL1438,FL4974,4,"['data-entry', 'machine-learning', 'bash']",Developing a scalable e-commerce platform with integrated payment gateways.
CL553,FL3173,1,"['video-editing', 'azure', 'node']",Designing RESTful APIs and microservices for SaaS solutions.
CL1649,FL9632,2,"['market-research', 'css', 'nosql', 'lead-generation']",Building a secure mobile banking app for Android and iOS.
CL1343,FL4654,2,"['angular', 'tensorflow', 'email-marketing', 'crm-support']",Implementing CI/CD pipelines for enterprise web applications.
CL1526,FL9315,3,"['linux', 'customer-support', 'ruby', '3d-rendering']",Designing RESTful APIs and microservices for SaaS solutions.
CL450,FL4919,2,"['bim', 'nosql', 'swift', 'gcp', 'css']",Migrating legacy systems to AWS cloud infrastructure.
CL1623,FL3582,5,"['bookkeeping', 'market-research']",Implementing CI/CD pipelines for enterprise web applications.
CL959,FL6538,3,"['indesign', 'sql', 'proofreading', 'grant-writing']",Designing RESTful APIs and microservices for SaaS solutions.
CL229,FL8643,5,"['swift', 'ruby', 'data-annotation', 'affiliate-marketing']",Building a secure mobile banking app for Android and iOS.
CL1561,FL9619,5,"['machine-learning', 'c++']",Migrating legacy systems to AWS cloud infrastructure.
CL1248,FL5485,5,"['smm', 'deep-learning', 'spark']",Migrating legacy systems to AWS cloud infrastructure.
CL1882,FL379,3,"['nosql', 'machine-learning', 'grant-writing', 'animation']",Developing a scalable e-commerce platform with integrated payment gateways.
CL491,FL4979,4,"['seo', 'calendar-management', 'swift']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1672,FL1254,3,"['solidworks', 'autocad', 'prompt-engineering']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1081,FL7085,4,"['solidworks', 'c#', 'crm', 'data-entry']",Designing RESTful APIs and microservices for SaaS solutions.
CL1376,FL2794,2,"['bim', 'ruby', 'ui-ux']",Building a secure mobile banking app for Android and iOS.
CL461,FL4797,1,"['node', 'market-research', 'figma', 'revit']",Developing a scalable e-commerce platform with integrated payment gateways.
CL146,FL4816,1,"['tensorflow', 'tax-preparation', 'content-marketing']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1053,FL4267,5,"['flask', 'proofreading', 'nosql']",Migrating legacy systems to AWS cloud infrastructure.
CL271,FL1382,1,"['calendar-management', 'html', 'speech-recognition', 'indesign', 'cv']",Designing RESTful APIs and microservices for SaaS solutions.
CL1350,FL7841,1,"['grant-writing', 'ui-ux', 'devops', 'ruby']",Implementing CI/CD pipelines for enterprise web applications.
CL125,FL2612,2,"['seo', 'virtual-assistant', 'storyboarding']",Coordinating travel arrangements and event scheduling for executives.
CL1099,FL119,4,"['seo', 'customer-support', 'rust']",Implementing CI/CD pipelines for enterprise web applications.
CL512,FL2133,2,"['speech-recognition', 'blog-writing', 'docker', 'branding', 'lead-generation']",Developing a scalable e-commerce platform with integrated payment gateways.
CL341,FL7381,4,"['tax-preparation', 'pytorch', 'ruby', 'proofreading', 'illustrator']",Implementing CI/CD pipelines for enterprise web applications.
CL5,FL5673,2,"['keras', 'revit', 'data-entry', 'email-marketing']",Implementing CI/CD pipelines for enterprise web applications.
CL389,FL5348,1,"['proofreading', 'speech-recognition', 'rust']",Building a secure mobile banking app for Android and iOS.
CL1532,FL3084,4,"['3d-rendering', 'aws']",Building a secure mobile banking app for Android and iOS.
CL1030,FL7572,2,"['order-processing', 'grant-writing', 'ppc']",Designing RESTful APIs and microservices for SaaS solutions.
CL141,FL3022,4,"['python', 'c++']",Designing RESTful APIs and microservices for SaaS solutions.
CL246,FL7739,1,"['gcp', 'c++', 'copywriting']",Designing RESTful APIs and microservices for SaaS solutions.
CL859,FL3092,2,"['chatbot', 'ruby', 'swift', '3d-rendering']",Designing RESTful APIs and microservices for SaaS solutions.
CL544,FL6426,4,"['lead-generation', 'php', 'crm']",Implementing CI/CD pipelines for enterprise web applications.
CL648,FL5369,5,"['cv', 'civil-engineering']",Developing a scalable e-commerce platform with integrated payment gateways.
CL205,FL3027,3,"['translation', 'animation', 'smm']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1805,FL9808,4,"['calendar-management', 'video-editing', 'ppc']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1708,FL7105,1,"['c#', 'chatbot', 'mechanical-engineering', 'typescript']",Designing RESTful APIs and microservices for SaaS solutions.
CL1923,FL1916,3,"['aws', 'storyboarding', 'video-editing', 'excel']",Migrating legacy systems to AWS cloud infrastructure.
CL1239,FL2568,3,"['ppc', 'chatbot', 'nlp', 'adobe-xd']",Migrating legacy systems to AWS cloud infrastructure.
CL1855,FL5271,1,"['data-entry', 'branding']",Developing a scalable e-commerce platform with integrated payment gateways.
CL8,FL2638,4,"['affiliate-marketing', 'calendar-management', 'virtual-assistant']",Building a secure mobile banking app for Android and iOS.
CL1130,FL8838,2,"['quickbooks', 'translation']",Implementing CI/CD pipelines for enterprise web applications.
CL1118,FL3823,2,"['swift', 'keras', 'machine-learning', 'illustrator']",Developing a scalable e-commerce platform with integrated payment gateways.
CL86,FL3495,2,"['translation', 'prompt-engineering', 'c++']",Building a secure mobile banking app for Android and iOS.
CL1366,FL1520,2,"['swift', 'logo-design', 'llm', 'go']",Developing a scalable e-commerce platform with integrated payment gateways.
CL1771,FL8910,3,"['azure', 'localization', 'grant-writing']",Migrating legacy systems to AWS cloud infrastructure.
CL1603,FL6400,4,"['prompt-engineering', 'blog-writing', 'virtual-assistant']",Implementing CI/CD pipelines for enterprise web applications.
CL1787,FL5126,3,"['figma', 'javascript', 'ui-ux']",Developing a scalable e-commerce platform with integrated payment gateways.
CL626,FL5857,3,"['copywriting', 'branding', 'autocad']",Migrating legacy systems to AWS cloud infrastructure.
CL571,FL4794,1,"['go', 'java', 'ppc', 'market-research']",Developing a scalable e-commerce platform with integrated payment gateways.
CL237,FL7898,1,"['prompt-engineering', 'docker', 'node']",Building a secure mobile banking app for Android and iOS.
CL1222,FL8356,5,"['order-processing', 'ruby', 'autocad', 'tax-preparation']",Implementing CI/CD pipelines for enterprise web applications.
CL237,FL1793,1,"['excel', 'ocr', 'solidworks']",Implementing CI/CD pipelines for enterprise web applications.
CL1065,FL3325,3,"['branding', 'machine-learning', 'ocr']",Designing RESTful APIs and microservices for SaaS solutions.
CL1277,FL5059,4,"['storyboarding', 'proofreading']",Building a secure mobile banking app for Android and iOS.
CL669,FL5403,4,"['sql', 'typescript', 'calendar-management', 'deep-learning']",Implementing CI/CD pipelines for enterprise web applications.
CL1388,FL4851,3,"['php', 'mechanical-engineering', 'llm', 'c#']",Migrating legacy systems to AWS cloud infrastructure.
CL431,FL7087,5,"['kubernetes', 'pytorch', 'etl', 'linux']",Implementing CI/CD pipelines for enterprise web applications.
CL970,FL7060,1,"['virtual-assistant', 'mechanical-engineering']",Migrating legacy systems to AWS cloud infrastructure.
CL1677,FL1807,1,"['rust', 'logo-design', 'sql', 'prompt-engineering']",Migrating legacy systems to AWS cloud infrastructure.
CL502,FL5094,5,"['bookkeeping', 'html']",Implementing CI/CD pipelines for enterprise web applications.
CL399,FL2862,4,"['branding', '3d-modeling', 'cv', 'content-marketing', 'ppc']",Implementing CI/CD pipelines for enterprise web applications.
